repository_id,project_type,project_title,primary_class,secondary_class,no_project_files
2,QD_PROJECT,Imaging of the vulnerable carotid plaque: role of imaging techniques and a research agenda,R86,,1
2,QD_PROJECT,"Interview guide  of study conducted on: Identification of the challenges teachers face in teaching small problem-based learning (PBL) groups in the College of Medicine, King Faisal University, Kingdom of Saudi Arabia",Q85,,2
2,QD_PROJECT,Data from: Radar wind profilers and avian migration - a qualitative and quantitative assessment verified by thermal imaging and moon watching,B07,C10,2
2,QD_PROJECT,Clinicians’ opinions on recommending aspirin to prevent colorectal cancer to Australians aged 50 to 70 years: A qualitative study,R86,B06,20
2,QD_PROJECT,Genetic diversity among black cumin (<em>Nigella sativa</em> L.) accessions based on quantitative and qualitative traits,B06,K62,2
2,QD_PROJECT,Data from: A virtual near-peer mentorship research program focused on healthcare disparities in the United States of America,Q85,R86,3
2,QD_PROJECT,Are researchers moving away from animal models as a result of poor clinical translation in the field of stroke? an analysis of opinion papers,N72,R86,4
2,QD_PROJECT,Two-point time-series of dental wear scores for baboon mandibular second molars,A01,B07,3
2,QD_PROJECT,Data from: The interactions of ethical notions and moral values of immediate stakeholders of immunisation services in two Indian states: a qualitative study,R86,C18,1
2,QD_PROJECT,Dataset for: Extent and types of gender-based discrimination against female medical students and physicians at five university hospitals in Germany – Results of an online survey,Q85,R86,2
2,QD_PROJECT,Data from: A land classification protocol for pollinator ecology research: an urbanisation case study,K62,K63,1
2,QD_PROJECT,Measuring the aggregated impact of research: Establishing criteria for coding Translational Science Benefits Model data,R86,N72,2
2,QD_PROJECT,Historical analysis of seagrass loss in the United Kingdom,C29,K62,2
2,QD_PROJECT,Approaches and methods used to bring together Indigenous and Environmental Science Knowledge in environmental research: A systematic map,N72,B07,2
2,QD_PROJECT,Data from: General rules for environmental management to prioritise social-ecological systems research based on a value of information approach,N72,B05,4
2,QD_PROJECT,Impact of disease characteristics and knowledge on public risk perception of Zoonoses,A01,K62,2
2,QD_PROJECT,Data from: A novel approach to quantifying mammal locomotor repertoires using scoring and cluster analysis,A01,B07,2
2,QD_PROJECT,Data from: Guiding carbon farming using interdisciplinary mixed methods mapping,A01,N72,2
2,QD_PROJECT,Flagellum tapering and midpiece volume in songbird spermatozoa,B07,K62,20
2,QD_PROJECT,"Data from: Congruence, but no cascade - pelagic biodiversity across 3 trophic levels in Nordic lakes",A03,B07,14
2,QD_PROJECT,Data from: Distribution maps of cetacean and seabird populations in the North-East Atlantic,A01,K62,1
2,QD_PROJECT,Recovery of European temperate forests after large and severe disturbances,A02,B07,2
2,QD_PROJECT,Data from: Hybrid machine learning approach to zero-inflated data improves accuracy of dengue prediction,A02,B06,2
2,QD_PROJECT,"Data from: How do patients and health workers interact around malaria rapid diagnostic testing, and how are the tests experienced by patients in practice? A qualitative study in western Uganda",R86,B07,1
2,QD_PROJECT,Simulation data from: Dynamics of immune memory and learning in bacterial communities,B07,K62,20
2,QD_PROJECT,Ecological signal in the size and shape of marine amniote teeth – 3D models and landmarks,B07,K62,4
2,QD_PROJECT,"Bushmeat yields, species extinction rates and ecosystem-level impacts of bushmeat harvesting as predicted by the Madingley General Ecosystem Model",B07,C17,20
2,QD_PROJECT,Coevolutionary theory of hosts and parasites,B07,C17,2
2,QD_PROJECT,Toward greater realism in inclusive fitness models: the case of caste fate conflict in insect societies,A03,B07,5
2,QD_PROJECT,Data from: Variation in responses of fishes across multiple reserves within a network of marine protected areas in temperate waters,A03,B07,2
2,QD_PROJECT,Taxonomic revision of Delphinium (Ranunculaceae) in the south-east of European Russia,K62,A02,17
2,QD_PROJECT,SPOM review: Broadening applications of stochastic patch occupancy models over three decades,B07,C29,4
2,QD_PROJECT,Long-term experimental drought alters floral scent and pollinator visits in a Mediterranean plant community despite overall limited impacts on plant phenotype and reproduction,E36,B07,16
2,QD_PROJECT,Similar but different: Revealing the relative roles of species‐traits versus biome properties structuring genetic variation in South American marsh rats,C24,K62,5
2,QD_PROJECT,Gradual transitions in genetics and songs between coastal and inland populations of Setophaga townsendi,C16,K62,2
2,QD_PROJECT,Alternative reproductive tactics and evolutionary rescue,B07,C24,7
2,QD_PROJECT,Broad diversity in monoterpene-sesquiterpene balance across wild sunflowers: implications of leaf and floral volatiles for biotic interactions,B06,B07,20
2,QD_PROJECT,Leaf Anatomical Properties ,A02,C30,1
2,QD_PROJECT,"Rivers and roads, silence and songs: female crickets respond similarly to conspecific male song in natural and anthropogenic soundscapes",A01,B07,11
2,QD_PROJECT,Data for: Ecosystem connectivity and configuration can mediate instability at a distance in metaecosystems ,B07,C18,8
2,QD_PROJECT,Data for: Frond orientations with independent current indicators demonstrate the reclining rheotropic mode of life of several Ediacaran rangeomorph taxa,C24,C29,7
2,QD_PROJECT,Data from: Mechanisms for polyandry evolution in a complex social bee,B07,C29,3
2,QD_PROJECT,Data from: Water-borne defense induction of a rockweed in the wild,E36,N72,3
2,QD_PROJECT,Different genes are recruited during convergent evolution of pregnancy and the placenta,B07,K62,2
2,QD_PROJECT,Data from: A novel sperm-derived seminal fluid protein in Caenorhabditis nematodes,E36,K62,17
2,QD_PROJECT,Estimating fine-scale changes in turbulence using the movements of a flapping flier,A01,B07,4
2,QD_PROJECT,"Data from: The holocephalan ratfish endoskeleton shares trabecular and areolar mineralization patterns, but not tesserae, with elasmobranchs little skate and catshark",A03,B07,16
2,QD_PROJECT,Home-based exercise for people living with frailty and chronic kidney disease: a mixed-methods pilot randomised controlled trial ,R86,,19
2,QD_PROJECT,Microfluidic monitoring of the growth of individual hyphae in confined environments,A01,B06,5
2,QD_PROJECT,The asymptotic behavior of bootstrap support values in molecular phylogenetics,A02,B07,1
2,QD_PROJECT,Data from: The mutualism-antagonism continuum in Neotropical palm-frugivore interactions: from interaction outcomes to ecosystem dynamics,A01,A03,4
2,QD_PROJECT,Data and code for: Generation and applications of simulated datasets to integrate social network and demographic analyses,K62,C23,3
2,QD_PROJECT,WALL-E/Vocus AIM data: Online particle phase chemical composition,B07,C20,12
2,QD_PROJECT,Data from: Metabolism drives demography in an experimental field test,B07,A03,1
2,QD_PROJECT,ASYFAIR Germany dataset: asylum adjudication in Germany (2018/19),B07,N69,5
2,QD_PROJECT,Data for: Foster children’s perspectives on participation in child welfare processes,N72,B07,2
2,QD_PROJECT,Bringing Back the Manchester Argus Coenonympha tullia ssp. davus (Fabricius 1777):  Quantifying the habitat resource requirements to inform the successful reintroduction of a specialist peatland butterfly,B07,C13,2
2,QD_PROJECT,Data from: Cooperation can promote rescue or lead to evolutionary suicide during environmental change,C24,K62,1
2,QD_PROJECT,.bam alignment files of Illumina and ONT sequencing of pREF plasmid ,K62,B07,5
2,QD_PROJECT,The diverse effects of phenotypic dominance on hybrid fitness,A03,B07,6
2,QD_PROJECT,Genetic modifiers of Huntington’s disease differentially influence motor and cognitive domains,R86,A01,9
2,QD_PROJECT,Spectroscopy of elementary excitations from quench dynamics in a dipolar XY Rydberg simulator,K62,N69,2
2,QD_PROJECT,Data from: The REporting of studies Conducted using Observational Routinely-collected health Data (RECORD) statement: methods for arriving at consensus and developing reporting guidelines,R86,J58,2
2,QD_PROJECT,Data from: Exploring the multi-level impacts of a youth-led comprehensive sexuality education model in Madagascar using human-centered design methods,Q85,K62,2
2,QD_PROJECT,"Skull shape of a widely-distributed, endangered marsupial reveals little evidence of local adaptation between fragmented populations",C22,C24,6
2,QD_PROJECT,Volatilome of Aleppo Pine litter over decomposition process,A02,B07,1
2,QD_PROJECT,Raw data from: Natural alleles at the Doa locus underpin evolutionary changes in Drosophila lifespan and fecundity,B06,D35,2
2,QD_PROJECT,"Scripts from: Inversions and genomic differentiation after secondary contact: When drift contributes to maintenance, not loss, of differentiation",K62,C26,6
